# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\ece385\lab6\work\lab6_toplevel.csv
# Generated on: Thu Mar 23 11:14:44 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADDR[19],Output,PIN_T8,2,B2_N1,PIN_T8,2.5 V,,,,,
ADDR[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,2.5 V,,,,,
ADDR[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,2.5 V,,,,,
ADDR[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,2.5 V,,,,,
ADDR[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,2.5 V,,,,,
ADDR[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,2.5 V,,,,,
ADDR[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,2.5 V,,,,,
ADDR[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,2.5 V,,,,,
ADDR[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,2.5 V,,,,,
ADDR[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,2.5 V,,,,,
ADDR[9],Output,PIN_T7,2,B2_N0,PIN_T7,2.5 V,,,,,
ADDR[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,2.5 V,,,,,
ADDR[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,2.5 V,,,,,
ADDR[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,2.5 V,,,,,
ADDR[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,2.5 V,,,,,
ADDR[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,2.5 V,,,,,
ADDR[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,2.5 V,,,,,
ADDR[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,2.5 V,,,,,
ADDR[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,2.5 V,,,,,
ADDR[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,2.5 V,,,,,
CE,Output,PIN_AF8,3,B3_N1,PIN_AF8,2.5 V,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
Continue,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
Data[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,2.5 V,,,,,
Data[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,2.5 V,,,,,
Data[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,2.5 V,,,,,
Data[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,2.5 V,,,,,
Data[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,2.5 V,,,,,
Data[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,2.5 V,,,,,
Data[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,2.5 V,,,,,
Data[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,2.5 V,,,,,
Data[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,2.5 V,,,,,
Data[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,2.5 V,,,,,
Data[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,2.5 V,,,,,
Data[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,2.5 V,,,,,
Data[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,2.5 V,,,,,
Data[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,2.5 V,,,,,
